#
#	Unity Polygon Packing is very space efficient
#	It also trims transparent borders pixels 
#	This information is ditched and not imported in Unity
#	Illarions item table has offsets relying on the exact size of the image
#	Due to the trimming the offset is wrong
#	This file contains the trimmed pixels to each borders
#	So the offset table data can be updated
#
#	name, is trimmed?, trimmed left, trimmed top, trimmed right, trimmed bottom
#
akaltut-attack-akaltut_attack_n-0,true,6,0,10,1
akaltut-attack-akaltut_attack_n-1,true,18,10,5,1
akaltut-attack-akaltut_attack_n-2,true,20,5,1,1
akaltut-attack-akaltut_attack_n-3,true,16,6,5,1
akaltut-attack-akaltut_attack_n-4,true,17,5,9,1
akaltut-attack-akaltut_attack_n-5,true,22,9,10,2
akaltut-attack-akaltut_attack_n-6,true,23,16,10,2
akaltut-attack-akaltut_attack_n-7,true,23,11,15,2
akaltut-attack-akaltut_attack_ne-0,true,15,12,10,9
akaltut-attack-akaltut_attack_ne-1,true,13,5,11,9
akaltut-attack-akaltut_attack_ne-2,true,10,7,4,8
akaltut-attack-akaltut_attack_ne-3,true,8,9,3,8
akaltut-attack-akaltut_attack_ne-4,true,9,2,3,6
akaltut-attack-akaltut_attack_ne-5,true,9,3,8,8
akaltut-attack-akaltut_attack_ne-6,true,13,11,3,9
akaltut-attack-akaltut_attack_ne-7,true,17,15,2,8
akaltut-attack-akaltut_attack_nw-0,true,35,10,3,3
akaltut-attack-akaltut_attack_nw-1,true,24,18,9,4
akaltut-attack-akaltut_attack_nw-2,true,7,13,7,3
akaltut-attack-akaltut_attack_nw-3,true,4,15,6,4
akaltut-attack-akaltut_attack_nw-4,true,7,10,3,5
akaltut-attack-akaltut_attack_nw-5,true,16,15,2,4
akaltut-attack-akaltut_attack_nw-6,true,27,16,3,3
akaltut-attack-akaltut_attack_nw-7,true,25,16,3,4
akaltut-attack-akaltut_attack_sw-0,true,16,23,4,12
akaltut-attack-akaltut_attack_sw-1,true,12,23,5,5
akaltut-attack-akaltut_attack_sw-2,true,8,11,9,11
akaltut-attack-akaltut_attack_sw-3,true,2,4,0,11
akaltut-attack-akaltut_attack_sw-4,true,4,16,8,11
akaltut-attack-akaltut_attack_sw-5,true,10,21,6,12
akaltut-attack-akaltut_attack_sw-6,true,13,21,15,4
akaltut-attack-akaltut_attack_sw-7,true,14,27,11,10
akaltut-attack-akaltut_attack_w-0,true,13,20,9,8
akaltut-attack-akaltut_attack_w-1,true,13,9,14,8
akaltut-attack-akaltut_attack_w-2,true,10,10,1,4
akaltut-attack-akaltut_attack_w-3,true,11,5,5,1
akaltut-attack-akaltut_attack_w-4,true,12,16,6,0
akaltut-attack-akaltut_attack_w-5,true,1,1,10,2
akaltut-attack-akaltut_attack_w-6,true,1,10,10,2
akaltut-attack-akaltut_attack_w-7,true,1,11,2,2
akaltut-stand-akaltut_stand_n-0,true,6,2,10,7
akaltut-stand-akaltut_stand_n-1,true,6,4,9,7
akaltut-stand-akaltut_stand_n-2,true,5,6,6,4
akaltut-stand-akaltut_stand_n-3,true,9,8,10,11
akaltut-stand-akaltut_stand_n-4,true,12,9,5,7
akaltut-stand-akaltut_stand_n-5,true,18,6,5,11
akaltut-stand-akaltut_stand_n-6,true,21,1,11,7
akaltut-stand-akaltut_stand_n-7,true,4,3,10,11
akaltut-stand-akaltut_stand_ne-0,true,5,12,1,7
akaltut-stand-akaltut_stand_ne-1,true,5,17,13,6
akaltut-stand-akaltut_stand_ne-2,true,9,16,10,6
akaltut-stand-akaltut_stand_ne-3,true,6,2,4,7
akaltut-stand-akaltut_stand_ne-4,true,9,9,2,3
akaltut-stand-akaltut_stand_ne-5,true,1,19,2,2
akaltut-stand-akaltut_stand_ne-6,true,9,12,10,6
akaltut-stand-akaltut_stand_ne-7,true,15,12,4,5
akaltut-stand-akaltut_stand_nw-0,true,23,2,4,6
akaltut-stand-akaltut_stand_nw-1,true,22,7,14,6
akaltut-stand-akaltut_stand_nw-2,true,22,14,7,5
akaltut-stand-akaltut_stand_nw-3,true,14,12,6,3
akaltut-stand-akaltut_stand_nw-4,true,16,14,0,10
akaltut-stand-akaltut_stand_nw-5,true,12,8,12,10
akaltut-stand-akaltut_stand_nw-6,true,14,3,8,8
akaltut-stand-akaltut_stand_nw-7,true,18,11,8,1
akaltut-stand-akaltut_stand_sw-0,true,12,16,7,12
akaltut-stand-akaltut_stand_sw-1,true,12,14,2,9
akaltut-stand-akaltut_stand_sw-2,true,7,14,6,21
akaltut-stand-akaltut_stand_sw-3,true,4,3,4,21
akaltut-stand-akaltut_stand_sw-4,true,3,13,10,21
akaltut-stand-akaltut_stand_sw-5,true,3,4,14,20
akaltut-stand-akaltut_stand_sw-6,true,1,9,17,22
akaltut-stand-akaltut_stand_sw-7,true,12,13,18,21
akaltut-stand-akaltut_stand_w-0,true,16,14,14,13
akaltut-stand-akaltut_stand_w-1,true,9,13,13,2
akaltut-stand-akaltut_stand_w-2,true,9,8,4,11
akaltut-stand-akaltut_stand_w-3,true,0,13,5,14
akaltut-stand-akaltut_stand_w-4,true,9,14,4,13
akaltut-stand-akaltut_stand_w-5,true,5,10,6,14
akaltut-stand-akaltut_stand_w-6,true,9,0,6,14
akaltut-stand-akaltut_stand_w-7,true,12,3,2,6
akaltut-walk-akaltut_walk_n-0,true,8,14,2,11
akaltut-walk-akaltut_walk_n-1,true,12,12,11,10
akaltut-walk-akaltut_walk_n-2,true,11,8,23,7
akaltut-walk-akaltut_walk_n-3,true,9,12,20,2
akaltut-walk-akaltut_walk_n-4,true,11,10,11,3
akaltut-walk-akaltut_walk_n-5,true,4,14,19,5
akaltut-walk-akaltut_walk_n-6,true,3,14,8,9
akaltut-walk-akaltut_walk_n-7,true,6,11,1,10
akaltut-walk-akaltut_walk_ne-0,true,9,11,0,7
akaltut-walk-akaltut_walk_ne-1,true,6,8,3,8
akaltut-walk-akaltut_walk_ne-2,true,1,15,1,8
akaltut-walk-akaltut_walk_ne-3,true,2,18,3,7
akaltut-walk-akaltut_walk_ne-4,true,6,15,5,5
akaltut-walk-akaltut_walk_ne-5,true,5,10,3,7
akaltut-walk-akaltut_walk_ne-6,true,1,20,0,8
akaltut-walk-akaltut_walk_ne-7,true,1,15,0,6
akaltut-walk-akaltut_walk_nw-0,true,14,1,11,8
akaltut-walk-akaltut_walk_nw-1,true,15,0,15,9
akaltut-walk-akaltut_walk_nw-2,true,16,10,0,9
akaltut-walk-akaltut_walk_nw-3,true,11,10,12,10
akaltut-walk-akaltut_walk_nw-4,true,13,9,12,8
akaltut-walk-akaltut_walk_nw-5,true,12,8,12,2
akaltut-walk-akaltut_walk_nw-6,true,17,7,15,9
akaltut-walk-akaltut_walk_nw-7,true,15,10,4,2
akaltut-walk-akaltut_walk_sw-0,true,10,20,8,12
akaltut-walk-akaltut_walk_sw-1,true,7,18,7,18
akaltut-walk-akaltut_walk_sw-2,true,1,15,3,1
akaltut-walk-akaltut_walk_sw-3,true,1,5,1,5
akaltut-walk-akaltut_walk_sw-4,true,0,15,10,5
akaltut-walk-akaltut_walk_sw-5,true,4,18,0,17
akaltut-walk-akaltut_walk_sw-6,true,0,9,3,18
akaltut-walk-akaltut_walk_sw-7,true,0,14,1,4
akaltut-walk-akaltut_walk_w-0,true,7,12,15,5
akaltut-walk-akaltut_walk_w-1,true,9,14,17,15
akaltut-walk-akaltut_walk_w-2,true,6,11,4,2
akaltut-walk-akaltut_walk_w-3,true,4,3,15,6
akaltut-walk-akaltut_walk_w-4,true,12,13,15,7
akaltut-walk-akaltut_walk_w-5,true,12,24,14,12
akaltut-walk-akaltut_walk_w-6,true,13,20,13,18
akaltut-walk-akaltut_walk_w-7,true,6,16,18,1
bear_stand_n,false,0,0,0,0
bear_stand_ne,false,0,0,0,0
bear_stand_nw,false,0,0,0,0
bear_stand_sw,false,0,0,0,0
bear_stand_w,false,0,0,0,0
bear_walk_n-0,true,0,0,0,1
bear_walk_n-1,true,2,0,1,2
bear_walk_n-2,true,4,0,2,0
bear_walk_n-3,true,4,0,12,0
bear_walk_n-4,true,1,0,1,0
bear_walk_n-5,true,1,0,10,0
bear_walk_n-6,true,0,0,4,1
bear_walk_n-7,true,1,0,0,5
bear_walk_ne-0,false,0,0,0,0
bear_walk_ne-1,true,1,0,0,5
bear_walk_ne-2,true,2,0,0,0
bear_walk_ne-3,true,2,1,0,0
bear_walk_ne-4,true,1,1,0,3
bear_walk_ne-5,true,1,0,1,4
bear_walk_ne-6,true,0,0,1,0
bear_walk_ne-7,true,0,0,1,0
bear_walk_nw-0,true,0,2,0,0
bear_walk_nw-1,true,0,0,7,0
bear_walk_nw-2,true,0,0,7,0
bear_walk_nw-3,true,0,0,1,0
bear_walk_nw-4,false,0,0,0,0
bear_walk_nw-5,true,0,0,7,0
bear_walk_nw-6,true,0,0,6,0
bear_walk_nw-7,true,0,1,1,1
bear_walk_sw-0,false,0,0,0,0
bear_walk_sw-1,true,0,0,1,1
bear_walk_sw-2,true,0,0,2,4
bear_walk_sw-3,true,0,0,2,0
bear_walk_sw-4,true,0,0,1,0
bear_walk_sw-5,false,0,0,0,0
bear_walk_sw-6,true,0,0,0,5
bear_walk_sw-7,true,0,1,0,2
bear_walk_w-0,true,0,2,11,0
bear_walk_w-1,true,0,0,7,0
bear_walk_w-2,true,1,0,4,3
bear_walk_w-3,true,0,2,0,5
bear_walk_w-4,true,0,0,0,6
bear_walk_w-5,true,1,0,0,5
bear_walk_w-6,true,4,0,9,3
bear_walk_w-7,true,6,0,11,2
beetle-beetle_stand_n,false,0,0,0,0
beetle-beetle_stand_ne,false,0,0,0,0
beetle-beetle_stand_nw,false,0,0,0,0
beetle-beetle_stand_sw,false,0,0,0,0
beetle-beetle_stand_w,false,0,0,0,0
beetle-beetle_walk_n-0,false,0,0,0,0
beetle-beetle_walk_n-1,false,0,0,0,0
beetle-beetle_walk_n-2,false,0,0,0,0
beetle-beetle_walk_n-3,false,0,0,0,0
beetle-beetle_walk_n-4,false,0,0,0,0
beetle-beetle_walk_n-5,false,0,0,0,0
beetle-beetle_walk_n-6,false,0,0,0,0
beetle-beetle_walk_n-7,false,0,0,0,0
beetle-beetle_walk_ne-0,true,1,0,0,0
beetle-beetle_walk_ne-1,false,0,0,0,0
beetle-beetle_walk_ne-2,true,1,0,0,0
beetle-beetle_walk_ne-3,false,0,0,0,0
beetle-beetle_walk_ne-4,true,1,0,0,0
beetle-beetle_walk_ne-5,false,0,0,0,0
beetle-beetle_walk_ne-6,true,1,0,0,0
beetle-beetle_walk_ne-7,false,0,0,0,0
beetle-beetle_walk_nw-0,false,0,0,0,0
beetle-beetle_walk_nw-1,false,0,0,0,0
beetle-beetle_walk_nw-2,false,0,0,0,0
beetle-beetle_walk_nw-3,false,0,0,0,0
beetle-beetle_walk_nw-4,false,0,0,0,0
beetle-beetle_walk_nw-5,false,0,0,0,0
beetle-beetle_walk_nw-6,false,0,0,0,0
beetle-beetle_walk_nw-7,false,0,0,0,0
beetle-beetle_walk_sw-0,false,0,0,0,0
beetle-beetle_walk_sw-1,false,0,0,0,0
beetle-beetle_walk_sw-2,false,0,0,0,0
beetle-beetle_walk_sw-3,false,0,0,0,0
beetle-beetle_walk_sw-4,false,0,0,0,0
beetle-beetle_walk_sw-5,false,0,0,0,0
beetle-beetle_walk_sw-6,false,0,0,0,0
beetle-beetle_walk_sw-7,false,0,0,0,0
beetle-beetle_walk_w-0,false,0,0,0,0
beetle-beetle_walk_w-1,true,0,0,1,0
beetle-beetle_walk_w-2,false,0,0,0,0
beetle-beetle_walk_w-3,true,0,0,1,0
beetle-beetle_walk_w-4,false,0,0,0,0
beetle-beetle_walk_w-5,true,0,0,1,0
beetle-beetle_walk_w-6,false,0,0,0,0
beetle-beetle_walk_w-7,true,0,0,1,0
beholder_n-0,true,0,0,1,0
beholder_n-1,true,0,0,1,0
beholder_n-2,true,0,0,2,0
beholder_n-3,true,0,1,2,0
beholder_n-4,true,1,1,0,0
beholder_n-5,true,1,2,0,0
beholder_n-6,true,2,1,0,0
beholder_n-7,true,2,1,0,0
beholder_n-8,true,1,0,0,0
beholder_n-9,true,0,0,1,0
beholder_ne-0,true,0,0,4,0
beholder_ne-1,true,0,0,5,0
beholder_ne-2,true,0,0,6,0
beholder_ne-3,true,0,0,7,0
beholder_ne-4,true,0,2,2,0
beholder_ne-5,true,0,1,0,0
beholder_ne-6,true,0,3,0,0
beholder_ne-7,true,0,2,0,0
beholder_ne-8,true,0,1,1,0
beholder_ne-9,true,0,0,5,0
beholder_nw-0,true,1,0,1,0
beholder_nw-1,false,0,0,0,0
beholder_nw-2,false,0,0,0,0
beholder_nw-3,false,0,0,0,0
beholder_nw-4,true,0,1,0,0
beholder_nw-5,true,2,1,0,0
beholder_nw-6,true,2,1,0,0
beholder_nw-7,true,1,1,1,0
beholder_nw-8,false,0,0,0,0
beholder_nw-9,false,0,0,0,0
beholder_sw-0,true,1,0,0,0
beholder_sw-1,true,5,0,0,0
beholder_sw-2,true,6,0,0,0
beholder_sw-3,true,7,0,0,0
beholder_sw-4,true,2,0,0,0
beholder_sw-5,false,0,0,0,0
beholder_sw-6,false,0,0,0,0
beholder_sw-7,false,0,0,0,0
beholder_sw-8,false,0,0,0,0
beholder_sw-9,true,4,0,0,0
beholder_w-0,false,0,0,0,0
beholder_w-1,false,0,0,0,0
beholder_w-2,false,0,0,0,0
beholder_w-3,true,0,0,2,0
beholder_w-4,true,3,0,0,0
beholder_w-5,true,5,0,2,0
beholder_w-6,true,5,0,1,0
beholder_w-7,false,0,0,0,0
beholder_w-8,false,0,0,0,0
beholder_w-9,false,0,0,0,0
black_dragon-attack-black_dragon_attack_e-0,true,49,6,50,7
black_dragon-attack-black_dragon_attack_e-1,true,46,2,44,9
black_dragon-attack-black_dragon_attack_e-2,true,42,2,41,16
black_dragon-attack-black_dragon_attack_e-3,true,35,2,35,18
black_dragon-attack-black_dragon_attack_e-4,true,32,5,36,11
black_dragon-attack-black_dragon_attack_e-5,true,33,5,37,7
black_dragon-attack-black_dragon_attack_e-6,true,39,5,38,18
black_dragon-attack-black_dragon_attack_e-7,true,37,2,48,9
black_dragon-attack-black_dragon_attack_ne-0,true,31,8,36,7
black_dragon-attack-black_dragon_attack_ne-1,true,21,8,36,6
black_dragon-attack-black_dragon_attack_ne-2,true,27,8,36,10
black_dragon-attack-black_dragon_attack_ne-3,true,31,8,36,9
black_dragon-attack-black_dragon_attack_ne-4,true,31,8,36,18
black_dragon-attack-black_dragon_attack_ne-5,true,31,8,36,9
black_dragon-attack-black_dragon_attack_ne-6,true,31,8,36,3
black_dragon-attack-black_dragon_attack_ne-7,true,31,8,36,8
black_dragon-attack-black_dragon_attack_nw-0,true,0,16,10,10
black_dragon-attack-black_dragon_attack_nw-1,true,2,1,10,10
black_dragon-attack-black_dragon_attack_nw-2,true,6,15,7,10
black_dragon-attack-black_dragon_attack_nw-3,true,8,1,15,10
black_dragon-attack-black_dragon_attack_nw-4,true,5,1,3,12
black_dragon-attack-black_dragon_attack_nw-5,true,10,0,11,10
black_dragon-attack-black_dragon_attack_nw-6,true,10,15,8,10
black_dragon-attack-black_dragon_attack_nw-7,true,0,0,6,10
black_dragon-attack-black_dragon_attack_s-0,true,20,16,55,10
black_dragon-attack-black_dragon_attack_s-1,true,22,5,52,11
black_dragon-attack-black_dragon_attack_s-2,true,41,16,45,15
black_dragon-attack-black_dragon_attack_s-3,true,65,16,53,2
black_dragon-attack-black_dragon_attack_s-4,true,51,16,53,3
black_dragon-attack-black_dragon_attack_s-5,true,66,16,53,5
black_dragon-attack-black_dragon_attack_s-6,true,59,16,52,14
black_dragon-attack-black_dragon_attack_s-7,true,27,5,53,15
black_dragon-attack-black_dragon_attack_sw-0,true,21,25,18,26
black_dragon-attack-black_dragon_attack_sw-1,true,21,3,33,26
black_dragon-attack-black_dragon_attack_sw-2,true,28,20,18,24
black_dragon-attack-black_dragon_attack_sw-3,true,28,20,18,27
black_dragon-attack-black_dragon_attack_sw-4,true,21,25,18,26
black_dragon-attack-black_dragon_attack_sw-5,true,28,20,18,26
black_dragon-attack-black_dragon_attack_sw-6,true,23,17,18,23
black_dragon-attack-black_dragon_attack_sw-7,true,28,20,18,23
black_dragon-stand-black_dragon_stand_e,true,13,1,51,6
black_dragon-stand-black_dragon_stand_ne,true,15,10,36,4
black_dragon-stand-black_dragon_stand_nw,true,3,11,10,14
black_dragon-stand-black_dragon_stand_s,true,17,15,54,14
black_dragon-stand-black_dragon_stand_sw,true,21,20,21,31
black_dragon-walk-black_dragon_walk_e-0,true,39,9,70,6
black_dragon-walk-black_dragon_walk_e-1,true,28,16,70,12
black_dragon-walk-black_dragon_walk_e-2,true,53,29,54,5
black_dragon-walk-black_dragon_walk_e-3,true,34,42,63,15
black_dragon-walk-black_dragon_walk_e-4,true,21,58,48,23
black_dragon-walk-black_dragon_walk_e-5,true,23,43,63,23
black_dragon-walk-black_dragon_walk_e-6,true,23,19,49,9
black_dragon-walk-black_dragon_walk_e-7,true,29,16,70,7
black_dragon-walk-black_dragon_walk_ne-0,true,27,12,32,13
black_dragon-walk-black_dragon_walk_ne-1,true,24,33,18,5
black_dragon-walk-black_dragon_walk_ne-2,true,4,31,19,1
black_dragon-walk-black_dragon_walk_ne-3,true,17,8,19,7
black_dragon-walk-black_dragon_walk_ne-4,true,20,8,27,4
black_dragon-walk-black_dragon_walk_ne-5,true,19,22,36,3
black_dragon-walk-black_dragon_walk_ne-6,true,12,20,36,2
black_dragon-walk-black_dragon_walk_ne-7,true,17,10,27,1
black_dragon-walk-black_dragon_walk_nw-0,true,7,40,3,14
black_dragon-walk-black_dragon_walk_nw-1,true,0,28,3,2
black_dragon-walk-black_dragon_walk_nw-2,true,10,11,5,14
black_dragon-walk-black_dragon_walk_nw-3,true,11,1,13,14
black_dragon-walk-black_dragon_walk_nw-4,true,10,4,3,13
black_dragon-walk-black_dragon_walk_nw-5,true,5,7,7,14
black_dragon-walk-black_dragon_walk_nw-6,true,14,17,12,16
black_dragon-walk-black_dragon_walk_nw-7,true,14,21,7,14
black_dragon-walk-black_dragon_walk_s-0,true,50,5,45,4
black_dragon-walk-black_dragon_walk_s-1,true,48,9,44,9
black_dragon-walk-black_dragon_walk_s-2,true,0,11,29,12
black_dragon-walk-black_dragon_walk_s-3,true,9,4,4,14
black_dragon-walk-black_dragon_walk_s-4,true,2,9,54,6
black_dragon-walk-black_dragon_walk_s-5,true,63,10,44,13
black_dragon-walk-black_dragon_walk_s-6,true,82,4,50,18
black_dragon-walk-black_dragon_walk_s-7,true,67,8,45,3
black_dragon-walk-black_dragon_walk_sw-0,true,25,35,35,10
black_dragon-walk-black_dragon_walk_sw-1,true,21,32,35,16
black_dragon-walk-black_dragon_walk_sw-2,true,18,14,30,5
black_dragon-walk-black_dragon_walk_sw-3,true,21,24,21,17
black_dragon-walk-black_dragon_walk_sw-4,true,16,20,30,10
black_dragon-walk-black_dragon_walk_sw-5,true,15,16,31,12
black_dragon-walk-black_dragon_walk_sw-6,true,21,9,30,18
black_dragon-walk-black_dragon_walk_sw-7,true,23,11,29,19
bone_dragon-bone_dragon_stand_n,false,0,0,0,0
bone_dragon-bone_dragon_stand_ne,false,0,0,0,0
bone_dragon-bone_dragon_stand_nw,false,0,0,0,0
bone_dragon-bone_dragon_stand_sw,false,0,0,0,0
bone_dragon-bone_dragon_stand_w,false,0,0,0,0
bone_dragon-bone_dragon_walk_n-0,true,1,0,60,0
bone_dragon-bone_dragon_walk_n-1,true,3,2,73,5
bone_dragon-bone_dragon_walk_n-2,true,0,10,40,13
bone_dragon-bone_dragon_walk_n-3,true,0,21,22,29
bone_dragon-bone_dragon_walk_n-4,true,4,11,5,33
bone_dragon-bone_dragon_walk_n-5,true,1,11,0,33
bone_dragon-bone_dragon_walk_n-6,true,0,21,0,28
bone_dragon-bone_dragon_walk_n-7,true,1,11,0,28
bone_dragon-bone_dragon_walk_n-8,true,4,11,8,30
bone_dragon-bone_dragon_walk_n-9,true,3,21,2,23
bone_dragon-bone_dragon_walk_n-10,true,0,10,40,6
bone_dragon-bone_dragon_walk_n-11,true,2,2,73,5
bone_dragon-bone_dragon_walk_ne-0,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-1,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-2,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-3,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-4,true,0,0,0,1
bone_dragon-bone_dragon_walk_ne-5,true,0,0,0,2
bone_dragon-bone_dragon_walk_ne-6,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-7,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-8,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-9,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-10,false,0,0,0,0
bone_dragon-bone_dragon_walk_ne-11,false,0,0,0,0
bone_dragon-bone_dragon_walk_nw-0,true,0,0,23,0
bone_dragon-bone_dragon_walk_nw-1,true,0,3,12,0
bone_dragon-bone_dragon_walk_nw-2,true,0,10,5,0
bone_dragon-bone_dragon_walk_nw-3,true,0,24,0,0
bone_dragon-bone_dragon_walk_nw-4,true,0,47,9,0
bone_dragon-bone_dragon_walk_nw-5,true,0,51,13,0
bone_dragon-bone_dragon_walk_nw-6,true,0,51,1,0
bone_dragon-bone_dragon_walk_nw-7,true,0,51,15,0
bone_dragon-bone_dragon_walk_nw-8,true,0,47,6,0
bone_dragon-bone_dragon_walk_nw-9,true,0,22,0,0
bone_dragon-bone_dragon_walk_nw-10,true,0,10,0,0
bone_dragon-bone_dragon_walk_nw-11,true,0,2,12,0
bone_dragon-bone_dragon_walk_sw-0,false,0,0,0,0
bone_dragon-bone_dragon_walk_sw-1,false,0,0,0,0
bone_dragon-bone_dragon_walk_sw-2,true,0,4,0,0
bone_dragon-bone_dragon_walk_sw-3,true,0,2,0,2
bone_dragon-bone_dragon_walk_sw-4,true,0,0,0,5
bone_dragon-bone_dragon_walk_sw-5,false,0,0,0,0
bone_dragon-bone_dragon_walk_sw-6,false,0,0,0,0
bone_dragon-bone_dragon_walk_sw-7,false,0,0,0,0
bone_dragon-bone_dragon_walk_sw-8,true,0,0,0,1
bone_dragon-bone_dragon_walk_sw-9,true,0,2,0,3
bone_dragon-bone_dragon_walk_sw-10,true,0,3,0,1
bone_dragon-bone_dragon_walk_sw-11,false,0,0,0,0
bone_dragon-bone_dragon_walk_w-0,true,0,0,1,0
bone_dragon-bone_dragon_walk_w-1,false,0,0,0,0
bone_dragon-bone_dragon_walk_w-2,true,3,3,7,0
bone_dragon-bone_dragon_walk_w-3,true,4,20,11,0
bone_dragon-bone_dragon_walk_w-4,true,4,26,37,2
bone_dragon-bone_dragon_walk_w-5,true,3,36,61,2
bone_dragon-bone_dragon_walk_w-6,true,1,53,74,2
bone_dragon-bone_dragon_walk_w-7,true,2,45,69,0
bone_dragon-bone_dragon_walk_w-8,true,0,26,30,0
bone_dragon-bone_dragon_walk_w-9,true,4,20,27,6
bone_dragon-bone_dragon_walk_w-10,true,4,7,5,3
