#
#	Unity Polygon Packing is very space efficient
#	It also trims transparent borders pixels 
#	This information is ditched and not imported in Unity
#	Illarions item table has offsets relying on the exact size of the image
#	Due to the trimming the offset is wrong
#	This file contains the trimmed pixels to each borders
#	So the offset table data can be updated
#
#	name, is trimmed?, trimmed left, trimmed top, trimmed right, trimmed bottom
#
1095,false,0,0,0,0
2286,false,0,0,0,0
2287,false,0,0,0,0
2290,false,0,0,0,0
2291,false,0,0,0,0
2302,false,0,0,0,0
2303,false,0,0,0,0
2441,false,0,0,0,0
2444,false,0,0,0,0
albarian_noble_armor,false,0,0,0,0
albarian_steel_plate,false,0,0,0,0
Alchemiebomb_empty,true,0,4,0,0
Alchemiebomb_Off,true,0,4,0,0
Alchemiebomb_On,false,0,0,0,0
alchmiepot-0,false,0,0,0,0
alchmiepot-1,true,8,0,8,0
alraune,false,0,0,0,0
altar,false,0,0,0,0
altar3,false,0,0,0,0
altar4,false,0,0,0,0
altar5,false,0,0,0,0
altar6,false,0,0,0,0
altar7,false,0,0,0,0
altar_destr,false,0,0,0,0
altar_destr2,false,0,0,0,0
altarEarth5-0,false,0,0,0,0
altarEarth5-1,false,0,0,0,0
altarEarth5-2,false,0,0,0,0
altarEarth5-3,false,0,0,0,0
altarEarth5-4,false,0,0,0,0
altarEarth5-5,false,0,0,0,0
altarEarth5-6,false,0,0,0,0
altarEarth5-7,false,0,0,0,0
altarEarth5-8,false,0,0,0,0
altarEarth5-9,false,0,0,0,0
altarEarth6-0,false,0,0,0,0
altarEarth6-1,false,0,0,0,0
altarEarth6-2,false,0,0,0,0
altarEarth6-3,false,0,0,0,0
altarEarth6-4,false,0,0,0,0
altarEarth6-5,false,0,0,0,0
altarEarth6-6,false,0,0,0,0
altarEarth6-7,false,0,0,0,0
altarEarth6-8,false,0,0,0,0
altarEarth6-9,false,0,0,0,0
amethyst0,false,0,0,0,0
amethyst_kupferkette,false,0,0,0,0
amethyst_kupferring,false,0,0,0,0
amethyst_magic,false,0,0,0,0
amethyst_silberkette,false,0,0,0,0
amethyst_silberring,false,0,0,0,0
amethystkette,false,0,0,0,0
amethystring,false,0,0,0,0
amethystroh,false,0,0,0,0
amethyststaub,false,0,0,0,0
amulett,false,0,0,0,0
anvil,false,0,0,0,0
anvil_active,false,0,0,0,0
apfel_gefallen_n,false,0,0,0,0
apfel_gefallen_o,false,0,0,0,0
apfel_gefallen_s,false,0,0,0,0
apfel_gefallen_w,false,0,0,0,0
apfel_leer-0,true,1,1,0,0
apfel_leer-1,true,0,0,11,0
apfel_leer-2,true,3,0,0,0
apfel_leer-3,true,0,0,18,0
apfel_setzling,false,0,0,0,0
apfel_trunc-0,true,0,9,0,0
apfel_trunc-1,false,0,0,0,0
apfel_trunc-2,true,2,7,0,1
apfel_trunc-3,true,0,12,0,0
apfel_voll-0,true,8,1,0,0
apfel_voll-1,true,0,1,10,0
apfel_voll-2,true,2,1,2,0
